# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Beliefs in Wreaths
# Property: Beliefs in Wreaths Site
# ----------------------------------------
# 
# All Users
# Start date: 20251113
# End date: 20251113
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Direct,16,15,0.9375,1.4375,5.0625,81,16,0.9375,0
Organic Search,4,4,1,0,3.5,14,4,1,0
Paid Search,2,0,0,0,2.5,5,0,0,0
Unassigned,1,1,1,48,13,13,3,1,0
