Device report
18 November 2025 - 18 November 2025
Week,Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Clicks,CTR,Avg. CPC,Conv. rate,Conversions,Cost / conv.
2025-11-17,Tablets,Campaign,B-in-W [Search | Sales], --,-70%,None,1,0,0.00%,AUD,0,0.00,0.00%,0.00%,0,0.00%,0,0.00%,0.00,0.00
2025-11-17,Mobile Phones,Campaign,B-in-W [Search | Sales], --, +20%,None,19,3,15.79%,AUD,7.46,22.39,73.68%,73.68%,3,15.79%,7.46,0.00%,0.00,0.00
2025-11-17,Computers,Campaign,B-in-W [Search | Sales], --,-70%,None,2,0,0.00%,AUD,0,0.00,0.00%,100.00%,0,0.00%,0,0.00%,0.00,0.00
2025-11-17,Computers,Campaign,Sales-Search-Test1, --, --,None,0,0, --,AUD,0,0.00, --, --,0, --,0,0.00%,0.00,0.00
2025-11-17,Tablets,Campaign,Sales-Search-Test1, --, --,None,0,0, --,AUD,0,0.00, --, --,0, --,0,0.00%,0.00,0.00
2025-11-17,Mobile Phones,Campaign,Sales-Search-Test1, --, --,None,0,0, --,AUD,0,0.00, --, --,0, --,0,0.00%,0.00,0.00
,,,,,Total: Account,,22,3,13.64%,AUD,7.46,22.39,63.64%,72.73%,3,13.64%,7.46,0.00%,0.00,0.00
2025-11-17,,,,,Total: Account,,22,3,13.64%,AUD,7.46,22.39,63.64%,72.73%,3,13.64%,7.46,0.00%,0.00,0.00
