Campaign report
12 November 2025 - 12 November 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],30.00, --,Daily,Eligible (Limited),limited by budget; unknown,92.21,Search,4,50.00%,AUD,16.55, --, --, --, --,20291611349,Manual CPC,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,4,50.00%,AUD,16.55, --, --, --, --, --, --,0.00%,0.00,0.00
Total: Campaign,,,,,,,,,4,50.00%,AUD,16.55, --, --, --, --,,,0.00%,0.00,0.00
