Device report
15 November 2025 - 15 November 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
TV screens,Campaign,B-in-W [Search | Sales], --, --,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Computers,Campaign,B-in-W [Search | Sales], --,-70%,None,0,3,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,B-in-W [Search | Sales], --,-70%,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,B-in-W [Search | Sales], --, +20%,None,3,15,20.00%,AUD,6.65,19.96,0.00%,0.00,0.00
,,,,Total: Campaign,,3,18,16.67%,AUD,6.65,19.96,0.00%,0.00,0.00
