Campaign report
13 November 2025 - 13 November 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],30.00, --,Daily,Eligible (Limited),limited by budget; unknown,82.01,Search,44,13.64%,AUD,30.86, --, --, --, --,20291611349,Manual CPC,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,44,13.64%,AUD,30.86, --, --, --, --, --, --,0.00%,0.00,0.00
Total: Campaign,,,,,,,,,44,13.64%,AUD,30.86, --, --, --, --,,,0.00%,0.00,0.00
