Campaign report
16 November 2025 - 17 November 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],30.00, --,Daily,Eligible (Limited),limited by budget; unknown,86.70,Search,51,13.73%,AUD,55.07,< 10%,< 10%,< 10%,> 90%,20291611349,Manual CPC,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,51,13.73%,AUD,55.07,< 10%,< 10%,< 10%,> 90%, --, --,0.00%,0.00,0.00
Total: Campaign,,,,,,,,,51,13.73%,AUD,55.07,< 10%,< 10%,< 10%,> 90%,,,0.00%,0.00,0.00
