Device report
4 November 2025 - 5 November 2025
Week,Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Clicks,CTR,Avg. CPC,Conv. rate,Conversions,Cost / conv.
2025-11-03,Tablets,Campaign,Sales-Search-Test1, --, --,None,0,0, --,AUD,0,0.00, --, --,0, --,0,0.00%,0.00,0.00
2025-11-03,Mobile Phones,Campaign,Sales-Search-Test1, --, --,None,0,0, --,AUD,0,0.00, --, --,0, --,0,0.00%,0.00,0.00
2025-11-03,Computers,Campaign,Sales-Search-Test1, --, --,None,0,0, --,AUD,0,0.00, --, --,0, --,0,0.00%,0.00,0.00
2025-11-03,Computers,Campaign,B-in-W [Search | Sales], --, --,None,13,0,0.00%,AUD,0,0.00,38.46%,46.15%,0,0.00%,0,0.00%,0.00,0.00
2025-11-03,Tablets,Campaign,B-in-W [Search | Sales], --, --,None,0,0, --,AUD,0,0.00, --, --,0, --,0,0.00%,0.00,0.00
2025-11-03,Mobile Phones,Campaign,B-in-W [Search | Sales], --, --,None,38,6,15.79%,AUD,3.67,22.00,64.86%,72.97%,6,15.79%,3.67,0.00%,0.00,0.00
,,,,,Total: Account,,51,6,11.76%,AUD,3.67,22.00,58.00%,66.00%,6,11.76%,3.67,0.00%,0.00,0.00
2025-11-03,,,,,Total: Account,,51,6,11.76%,AUD,3.67,22.00,58.00%,66.00%,6,11.76%,3.67,0.00%,0.00,0.00
