# ----------------------------------------
# All channels
# Account: Beliefs in Wreaths
# Property: Beliefs in Wreaths Site
# ----------------------------------------
# 
# All Users
# Start date: 20251106
# End date: 20251107
Primary channel group (Default Channel Group),Key events,Ads cost,Cost per key event,Ads impressions,Ads clicks,Ads cost per click,Total revenue,Return on ad spend
Referral,35.664704,0,0,0,0,0,0,0
Organic Search,19.002356,0,0,0,0,0,0,0
Organic Social,12,0,0,0,0,0,0,0
Paid Search,12,50.160457,4.180038083333334,85,14,3.582889785714286,0,0
Direct,1,0,0,0,0,0,0,0
Organic Shopping,0.33294,0,0,0,0,0,0,0
