Campaign report
30 October 2025 - 30 October 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],35.00, --,Daily,Eligible (Limited),limited by budget; unknown,92.21,Search,200,10.00%,AUD,39.65,< 10%,< 10%,< 10%,89.67%,20291611349,Manual CPC,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,200,10.00%,AUD,39.65,< 10%,< 10%,< 10%,89.67%, --, --,0.00%,0.00,0.00
Total: Campaign,,,,,,,,,200,10.00%,AUD,39.65,< 10%,< 10%,< 10%,89.67%,,,0.00%,0.00,0.00
