# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Beliefs in Wreaths
# Property: Beliefs in Wreaths Site
# ----------------------------------------
# 
# All Users
# Start date: 20251115
# End date: 20251115
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Search,3,2,0.6666666666666666,28.333333333333332,6.333333333333333,19,0,0,0
Organic Search,2,1,0.5,68.5,15,30,5,0.5,0
Direct,1,1,1,1,5,5,1,1,0
