Device report
16 November 2025 - 17 November 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Mobile Phones,Campaign,B-in-W [Search | Sales], --, +20%,None,7,47,14.89%,AUD,7.87,55.07,0.00%,0.00,0.00
Computers,Campaign,B-in-W [Search | Sales], --,-70%,None,0,3,0.00%,AUD,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,B-in-W [Search | Sales], --, --,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,B-in-W [Search | Sales], --,-70%,None,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
,,,,Total: Campaign,,7,51,13.73%,AUD,7.87,55.07,0.00%,0.00,0.00
