Device report
14 November 2025 - 14 November 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Tablets,Campaign,B-in-W [Search | Sales], --,-70%,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,B-in-W [Search | Sales], --, --,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,B-in-W [Search | Sales], --, +20%,None,3,11,27.27%,AUD,8.54,25.61,0.00%,0.00,0.00
Computers,Campaign,B-in-W [Search | Sales], --,-70%,None,0,2,0.00%,AUD,0,0.00,0.00%,0.00,0.00
,,,,Total: Campaign,,3,13,23.08%,AUD,8.54,25.61,0.00%,0.00,0.00
