Campaign report
11 November 2025 - 11 November 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],84.00, --,Daily,Eligible,unknown,92.21,Search,28,28.57%,AUD,44.30, --, --, --, --,20291611349,Manual CPC,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,28,28.57%,AUD,44.30, --, --, --, --, --, --,0.00%,0.00,0.00
Total: Campaign,,,,,,,,,28,28.57%,AUD,44.30, --, --, --, --,,,0.00%,0.00,0.00
