Campaign report
15 November 2025 - 15 November 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],30.00, --,Daily,Eligible (Limited),limited by budget; unknown,92.21,Search,18,16.67%,AUD,19.96, --, --, --, --,20291611349,Manual CPC,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,18,16.67%,AUD,19.96, --, --, --, --, --, --,0.00%,0.00,0.00
Total: Campaign,,,,,,,,,18,16.67%,AUD,19.96, --, --, --, --,,,0.00%,0.00,0.00
