Campaign report
29 October 2025 - 29 October 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],30.00, --,Daily,Eligible (Limited),limited by budget; unknown,84.53,Search,192,11.46%,AUD,40.23,< 10%,< 10%,< 10%,73.99%,20291611349,Manual CPC,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,192,11.46%,AUD,40.23,< 10%,< 10%,< 10%,73.99%, --, --,0.00%,0.00,0.00
Total: Campaign,,,,,,,,,192,11.46%,AUD,40.23,< 10%,< 10%,< 10%,73.99%,,,0.00%,0.00,0.00
