Device report
12 November 2025 - 12 November 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Tablets,Campaign,B-in-W [Search | Sales], --,-70%,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,B-in-W [Search | Sales], --, +20%,None,2,3,66.67%,AUD,8.28,16.55,0.00%,0.00,0.00
TV screens,Campaign,B-in-W [Search | Sales], --, --,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Computers,Campaign,B-in-W [Search | Sales], --,-70%,None,0,1,0.00%,AUD,0,0.00,0.00%,0.00,0.00
,,,,Total: Campaign,,2,4,50.00%,AUD,8.28,16.55,0.00%,0.00,0.00
