Campaign report
9 November 2025 - 10 November 2025
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimisation score,Campaign type,Impr.,CTR,Currency code,Cost,Search top IS,Search impr. share,Search abs. top IS,Search lost IS (budget),Campaign Id,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,B-in-W [Search | Sales],84.00, --,Daily,Eligible,unknown,92.21,Search,227,18.50%,AUD,169.58,< 10%,< 10%,< 10%,> 90%,20291611349,Manual CPC,4.76%,2.00,84.79
Total: Campaigns, --, --, --, --, --,, --, --,227,18.50%,AUD,169.58,< 10%,< 10%,< 10%,> 90%, --, --,4.76%,2.00,84.79
Total: Campaign,,,,,,,,,227,18.50%,AUD,169.58,< 10%,< 10%,< 10%,> 90%,,,4.76%,2.00,84.79
