Device report
6 November 2025 - 7 November 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Tablets,Campaign,B-in-W [Search | Sales], --, --,None,1,3,33.33%,AUD,4.03,4.03,0.00%,0.00,0.00
Mobile Phones,Campaign,B-in-W [Search | Sales], --, --,None,6,60,10.00%,AUD,3.40,20.39,0.00%,0.00,0.00
TV screens,Campaign,B-in-W [Search | Sales], --, --,None,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Computers,Campaign,B-in-W [Search | Sales], --, --,None,7,22,31.82%,AUD,3.68,25.74,0.00%,0.00,0.00
,,,,Total: Campaign,,14,85,16.47%,AUD,3.58,50.16,0.00%,0.00,0.00
